"","Obs.","Crit."
"1-2","67.00","113.00"
"1-3","\(\mathbf{219.00}\)","\(\mathbf{113.00}\)"
"1-4","70.00","113.00"
"1-5","\(\mathbf{185.00}\)","\(\mathbf{113.00}\)"
"1-6","111.00","113.00"
"1-7","\(\mathbf{404.00}\)","\(\mathbf{113.00}\)"
"1-8","\(\mathbf{359.00}\)","\(\mathbf{113.00}\)"
"2-3","\(\mathbf{152.00}\)","\(\mathbf{113.00}\)"
"2-4","4.00","113.00"
"2-5","\(\mathbf{118.00}\)","\(\mathbf{113.00}\)"
"2-6","45.00","113.00"
"2-7","\(\mathbf{337.00}\)","\(\mathbf{113.00}\)"
"2-8","\(\mathbf{292.00}\)","\(\mathbf{113.00}\)"
"3-4","\(\mathbf{148.00}\)","\(\mathbf{113.00}\)"
"3-5","34.00","113.00"
"3-6","107.00","113.00"
"3-7","\(\mathbf{185.00}\)","\(\mathbf{113.00}\)"
"3-8","\(\mathbf{140.00}\)","\(\mathbf{113.00}\)"
"4-5","\(\mathbf{114.00}\)","\(\mathbf{113.00}\)"
"4-6","41.00","113.00"
"4-7","\(\mathbf{333.00}\)","\(\mathbf{113.00}\)"
"4-8","\(\mathbf{289.00}\)","\(\mathbf{113.00}\)"
"5-6","73.00","113.00"
"5-7","\(\mathbf{219.00}\)","\(\mathbf{113.00}\)"
"5-8","\(\mathbf{174.00}\)","\(\mathbf{113.00}\)"
"6-7","\(\mathbf{292.00}\)","\(\mathbf{113.00}\)"
"6-8","\(\mathbf{248.00}\)","\(\mathbf{113.00}\)"
"7-8","45.00","113.00"
