"","obs.dif","critical.dif","difference"
"1-2",102.05737704918,112.74331037508,FALSE
"1-3",107.213114754098,112.74331037508,FALSE
"1-4",421.926229508197,112.74331037508,TRUE
"1-5",48.155737704918,112.74331037508,FALSE
"1-6",538.5,112.74331037508,TRUE
"1-7",490.459016393443,112.74331037508,TRUE
"1-8",554.426229508197,112.74331037508,TRUE
"2-3",209.270491803279,112.74331037508,TRUE
"2-4",523.983606557377,112.74331037508,TRUE
"2-5",150.213114754098,112.74331037508,TRUE
"2-6",640.55737704918,112.74331037508,TRUE
"2-7",592.516393442623,112.74331037508,TRUE
"2-8",656.483606557377,112.74331037508,TRUE
"3-4",314.713114754098,112.74331037508,TRUE
"3-5",59.0573770491803,112.74331037508,FALSE
"3-6",431.286885245902,112.74331037508,TRUE
"3-7",383.245901639344,112.74331037508,TRUE
"3-8",447.213114754098,112.74331037508,TRUE
"4-5",373.770491803279,112.74331037508,TRUE
"4-6",116.573770491803,112.74331037508,TRUE
"4-7",68.5327868852459,112.74331037508,FALSE
"4-8",132.5,112.74331037508,TRUE
"5-6",490.344262295082,112.74331037508,TRUE
"5-7",442.303278688525,112.74331037508,TRUE
"5-8",506.270491803279,112.74331037508,TRUE
"6-7",48.0409836065574,112.74331037508,FALSE
"6-8",15.9262295081967,112.74331037508,FALSE
"7-8",63.9672131147541,112.74331037508,FALSE
