"","obs.dif","critical.dif","difference"
"1-2",327.77868852459,112.74331037508,TRUE
"1-3",73.8032786885246,112.74331037508,FALSE
"1-4",472.786885245902,112.74331037508,TRUE
"1-5",234.024590163934,112.74331037508,TRUE
"1-6",240.852459016393,112.74331037508,TRUE
"1-7",429.409836065574,112.74331037508,TRUE
"1-8",173.344262295082,112.74331037508,TRUE
"2-3",253.975409836066,112.74331037508,TRUE
"2-4",800.565573770492,112.74331037508,TRUE
"2-5",93.7540983606557,112.74331037508,FALSE
"2-6",568.631147540984,112.74331037508,TRUE
"2-7",757.188524590164,112.74331037508,TRUE
"2-8",501.122950819672,112.74331037508,TRUE
"3-4",546.590163934426,112.74331037508,TRUE
"3-5",160.22131147541,112.74331037508,TRUE
"3-6",314.655737704918,112.74331037508,TRUE
"3-7",503.213114754098,112.74331037508,TRUE
"3-8",247.147540983607,112.74331037508,TRUE
"4-5",706.811475409836,112.74331037508,TRUE
"4-6",231.934426229508,112.74331037508,TRUE
"4-7",43.377049180328,112.74331037508,FALSE
"4-8",299.44262295082,112.74331037508,TRUE
"5-6",474.877049180328,112.74331037508,TRUE
"5-7",663.434426229508,112.74331037508,TRUE
"5-8",407.368852459016,112.74331037508,TRUE
"6-7",188.55737704918,112.74331037508,TRUE
"6-8",67.5081967213114,112.74331037508,FALSE
"7-8",256.065573770492,112.74331037508,TRUE
