"","Obs.","Crit."
"1-2","\(\mathbf{328.00}\)","\(\mathbf{113.00}\)"
"1-3","74.00","113.00"
"1-4","\(\mathbf{473.00}\)","\(\mathbf{113.00}\)"
"1-5","\(\mathbf{234.00}\)","\(\mathbf{113.00}\)"
"1-6","\(\mathbf{241.00}\)","\(\mathbf{113.00}\)"
"1-7","\(\mathbf{429.00}\)","\(\mathbf{113.00}\)"
"1-8","\(\mathbf{173.00}\)","\(\mathbf{113.00}\)"
"2-3","\(\mathbf{254.00}\)","\(\mathbf{113.00}\)"
"2-4","\(\mathbf{801.00}\)","\(\mathbf{113.00}\)"
"2-5","94.00","113.00"
"2-6","\(\mathbf{569.00}\)","\(\mathbf{113.00}\)"
"2-7","\(\mathbf{757.00}\)","\(\mathbf{113.00}\)"
"2-8","\(\mathbf{501.00}\)","\(\mathbf{113.00}\)"
"3-4","\(\mathbf{547.00}\)","\(\mathbf{113.00}\)"
"3-5","\(\mathbf{160.00}\)","\(\mathbf{113.00}\)"
"3-6","\(\mathbf{315.00}\)","\(\mathbf{113.00}\)"
"3-7","\(\mathbf{503.00}\)","\(\mathbf{113.00}\)"
"3-8","\(\mathbf{247.00}\)","\(\mathbf{113.00}\)"
"4-5","\(\mathbf{707.00}\)","\(\mathbf{113.00}\)"
"4-6","\(\mathbf{232.00}\)","\(\mathbf{113.00}\)"
"4-7","43.00","113.00"
"4-8","\(\mathbf{299.00}\)","\(\mathbf{113.00}\)"
"5-6","\(\mathbf{475.00}\)","\(\mathbf{113.00}\)"
"5-7","\(\mathbf{663.00}\)","\(\mathbf{113.00}\)"
"5-8","\(\mathbf{407.00}\)","\(\mathbf{113.00}\)"
"6-7","\(\mathbf{189.00}\)","\(\mathbf{113.00}\)"
"6-8","68.00","113.00"
"7-8","\(\mathbf{256.00}\)","\(\mathbf{113.00}\)"
