"","obs.dif","critical.dif","difference"
"1-2",242.844262295082,112.74331037508,TRUE
"1-3",123.155737704918,112.74331037508,TRUE
"1-4",489.918032786885,112.74331037508,TRUE
"1-5",366,112.74331037508,TRUE
"1-6",764.155737704918,112.74331037508,TRUE
"1-7",608.081967213115,112.74331037508,TRUE
"1-8",821.844262295082,112.74331037508,TRUE
"2-3",119.688524590164,112.74331037508,TRUE
"2-4",247.073770491803,112.74331037508,TRUE
"2-5",123.155737704918,112.74331037508,TRUE
"2-6",521.311475409836,112.74331037508,TRUE
"2-7",365.237704918033,112.74331037508,TRUE
"2-8",579,112.74331037508,TRUE
"3-4",366.762295081967,112.74331037508,TRUE
"3-5",242.844262295082,112.74331037508,TRUE
"3-6",641,112.74331037508,TRUE
"3-7",484.926229508197,112.74331037508,TRUE
"3-8",698.688524590164,112.74331037508,TRUE
"4-5",123.918032786885,112.74331037508,TRUE
"4-6",274.237704918033,112.74331037508,TRUE
"4-7",118.16393442623,112.74331037508,TRUE
"4-8",331.926229508197,112.74331037508,TRUE
"5-6",398.155737704918,112.74331037508,TRUE
"5-7",242.081967213115,112.74331037508,TRUE
"5-8",455.844262295082,112.74331037508,TRUE
"6-7",156.073770491803,112.74331037508,TRUE
"6-8",57.688524590164,112.74331037508,FALSE
"7-8",213.762295081967,112.74331037508,TRUE
