"","Obs.","Crit."
"1-2","8.00","113.00"
"1-3","18.00","113.00"
"1-4","41.00","113.00"
"1-5","23.00","113.00"
"1-6","40.00","113.00"
"1-7","72.00","113.00"
"1-8","76.00","113.00"
"2-3","26.00","113.00"
"2-4","49.00","113.00"
"2-5","31.00","113.00"
"2-6","48.00","113.00"
"2-7","80.00","113.00"
"2-8","84.00","113.00"
"3-4","23.00","113.00"
"3-5","5.00","113.00"
"3-6","22.00","113.00"
"3-7","54.00","113.00"
"3-8","58.00","113.00"
"4-5","18.00","113.00"
"4-6","1.00","113.00"
"4-7","31.00","113.00"
"4-8","35.00","113.00"
"5-6","16.00","113.00"
"5-7","49.00","113.00"
"5-8","52.00","113.00"
"6-7","32.00","113.00"
"6-8","36.00","113.00"
"7-8","4.00","113.00"
