"","obs.dif","critical.dif"
"1-2","68.1967213114754","112.74331037508"
"1-3","\textbf{373.27868852459}","\textbf{112.74331037508}"
"1-4","\textbf{345.852459016393}","\textbf{112.74331037508}"
"1-5","\textbf{439.336065573771}","\textbf{112.74331037508}"
"1-6","\textbf{717.352459016393}","\textbf{112.74331037508}"
"1-7","\textbf{324.303278688525}","\textbf{112.74331037508}"
"1-8","\textbf{775.090163934426}","\textbf{112.74331037508}"
"2-3","\textbf{305.081967213115}","\textbf{112.74331037508}"
"2-4","\textbf{277.655737704918}","\textbf{112.74331037508}"
"2-5","\textbf{371.139344262295}","\textbf{112.74331037508}"
"2-6","\textbf{649.155737704918}","\textbf{112.74331037508}"
"2-7","\textbf{256.106557377049}","\textbf{112.74331037508}"
"2-8","\textbf{706.893442622951}","\textbf{112.74331037508}"
"3-4","27.4262295081967","112.74331037508"
"3-5","66.0573770491804","112.74331037508"
"3-6","\textbf{344.073770491803}","\textbf{112.74331037508}"
"3-7","48.9754098360656","112.74331037508"
"3-8","\textbf{401.811475409836}","\textbf{112.74331037508}"
"4-5","93.4836065573771","112.74331037508"
"4-6","\textbf{371.5}","\textbf{112.74331037508}"
"4-7","21.5491803278689","112.74331037508"
"4-8","\textbf{429.237704918033}","\textbf{112.74331037508}"
"5-6","\textbf{278.016393442623}","\textbf{112.74331037508}"
"5-7","\textbf{115.032786885246}","\textbf{112.74331037508}"
"5-8","\textbf{335.754098360656}","\textbf{112.74331037508}"
"6-7","\textbf{393.049180327869}","\textbf{112.74331037508}"
"6-8","57.7377049180328","112.74331037508"
"7-8","\textbf{450.786885245902}","\textbf{112.74331037508}"
