"","Obs.","Crit."
"1-2","35.00","99.00"
"1-3","\(\mathbf{246.00}\)","\(\mathbf{99.00}\)"
"1-4","8.00","99.00"
"1-5","\(\mathbf{241.00}\)","\(\mathbf{99.00}\)"
"1-6","22.00","99.00"
"1-7","\(\mathbf{516.00}\)","\(\mathbf{99.00}\)"
"1-8",NA,NA
"2-3","\(\mathbf{210.00}\)","\(\mathbf{99.00}\)"
"2-4","43.00","99.00"
"2-5","\(\mathbf{206.00}\)","\(\mathbf{99.00}\)"
"2-6","14.00","99.00"
"2-7","\(\mathbf{481.00}\)","\(\mathbf{99.00}\)"
"2-8",NA,NA
"3-4","\(\mathbf{254.00}\)","\(\mathbf{99.00}\)"
"3-5","4.00","99.00"
"3-6","\(\mathbf{224.00}\)","\(\mathbf{99.00}\)"
"3-7","\(\mathbf{271.00}\)","\(\mathbf{99.00}\)"
"3-8",NA,NA
"4-5","\(\mathbf{249.00}\)","\(\mathbf{99.00}\)"
"4-6","30.00","99.00"
"4-7","\(\mathbf{524.00}\)","\(\mathbf{99.00}\)"
"4-8",NA,NA
"5-6","\(\mathbf{220.00}\)","\(\mathbf{99.00}\)"
"5-7","\(\mathbf{275.00}\)","\(\mathbf{99.00}\)"
"5-8",NA,NA
"6-7","\(\mathbf{495.00}\)","\(\mathbf{99.00}\)"
"6-8",NA,NA
"7-8",NA,NA
