"","obs.dif","critical.dif"
"1-2","8.80327868852459","112.74331037508"
"1-3","\textbf{148.155737704918}","\textbf{112.74331037508}"
"1-4","61.3934426229508","112.74331037508"
"1-5","\textbf{113.532786885246}","\textbf{112.74331037508}"
"1-6","98.827868852459","112.74331037508"
"1-7","\textbf{341.483606557377}","\textbf{112.74331037508}"
"1-8","\textbf{324.55737704918}","\textbf{112.74331037508}"
"2-3","\textbf{156.959016393443}","\textbf{112.74331037508}"
"2-4","70.1967213114754","112.74331037508"
"2-5","\textbf{122.33606557377}","\textbf{112.74331037508}"
"2-6","107.631147540984","112.74331037508"
"2-7","\textbf{350.286885245902}","\textbf{112.74331037508}"
"2-8","\textbf{333.360655737705}","\textbf{112.74331037508}"
"3-4","86.7622950819672","112.74331037508"
"3-5","34.6229508196722","112.74331037508"
"3-6","49.3278688524591","112.74331037508"
"3-7","\textbf{193.327868852459}","\textbf{112.74331037508}"
"3-8","\textbf{176.401639344262}","\textbf{112.74331037508}"
"4-5","52.1393442622951","112.74331037508"
"4-6","37.4344262295082","112.74331037508"
"4-7","\textbf{280.090163934426}","\textbf{112.74331037508}"
"4-8","\textbf{263.16393442623}","\textbf{112.74331037508}"
"5-6","14.7049180327869","112.74331037508"
"5-7","\textbf{227.950819672131}","\textbf{112.74331037508}"
"5-8","\textbf{211.024590163934}","\textbf{112.74331037508}"
"6-7","\textbf{242.655737704918}","\textbf{112.74331037508}"
"6-8","\textbf{225.729508196721}","\textbf{112.74331037508}"
"7-8","16.9262295081967","112.74331037508"
