"","FGroup","ExpNo","U","P","Sig","Cell0","Cell1","count0","count1"
"1","autotroph","1",12459,9.02068822144999e-20,"Sig",1670722.76137512,878695.308488019,"122","122"
"2","autotroph","2",13740,3.17504842828242e-30,"Sig",1746510.83160045,882677.957101654,"122","122"
"3","autotroph","3",11211,8.1307910094721e-12,"Sig",1561577.08803729,868540.385265156,"122","122"
"4","autotroph","4",4880,3.37331258255905e-06,"Sig",486052.471270624,849876.629416699,"122","122"
"5","autotroph","5",11774,3.9178099980697e-15,"Sig",1625253.13988178,868834.942971974,"122","122"
"6","autotroph","6",4880,3.37331258255905e-06,"Sig",459224.359962461,853715.841204564,"122","122"
"7","autotroph","7",4880,3.37331258255905e-06,"Sig",460777.427540387,832166.520152838,"122","122"
"8","autotroph","8",4880,3.37331258255905e-06,"Sig",452182.727110121,835777.810040826,"122","122"
"9","carnivore","1",14884,1.58069740997728e-41,"Sig",73956.3450469672,11956.1674542349,"122","122"
"10","carnivore","2",14884,1.58069740997728e-41,"Sig",128149.537141804,12114.8247264191,"122","122"
"11","carnivore","3",14884,1.58069740997728e-41,"Sig",84836.5045881268,11900.0274104079,"122","122"
"12","carnivore","4",14884,1.58069740997728e-41,"Sig",16606.2772973778,2235.03166311239,"122","122"
"13","carnivore","5",14884,1.58069740997728e-41,"Sig",145710.041849417,10875.6844907349,"122","122"
"14","carnivore","6",5700,0.00158226150871609,"Sig",1382.42158599005,2185.07750180211,"122","122"
"15","carnivore","7",14884,3.29269549457744e-47,"Sig",11067.0430199669,0,"122","122"
"16","herbivore","1",0,1.58069740997728e-41,"Sig",91839.9798055646,289102.851522052,"122","122"
"17","herbivore","2",0,1.58069740997728e-41,"Sig",66384.5865303624,285987.311333533,"122","122"
"18","herbivore","3",0,1.58069740997728e-41,"Sig",86550.0852207128,287564.017982185,"122","122"
"19","herbivore","4",14884,1.58069740997728e-41,"Sig",371673.554114737,282915.749146219,"122","122"
"20","herbivore","5",0,1.58069740997728e-41,"Sig",69551.976946058,296088.094162953,"122","122"
"21","herbivore","6",12575,1.27136887582618e-20,"Sig",307365.727333359,281886.743194238,"122","122"
"22","herbivore","7",14884,1.58069740997728e-41,"Sig",365987.031903853,285076.052376598,"122","122"
"23","herbivore","8",10402,7.93227469249556e-08,"Sig",303425.89984456,291666.671140922,"122","122"
"24","omnivore","1",0,1.58069740997728e-41,"Sig",14928.8467159887,97738.9289667696,"122","122"
"25","omnivore","2",0,1.58069740997728e-41,"Sig",27758.6340400063,99499.2909646597,"122","122"
"26","omnivore","3",0,1.58069740997728e-41,"Sig",21507.9075033046,101026.987534614,"122","122"
"27","omnivore","4",14712,1.03988515595998e-39,"Sig",120955.382085021,110765.080976503,"122","122"
"28","omnivore","5",0,1.58069740997728e-41,"Sig",36271.9100779467,100848.850713025,"122","122"
"29","omnivore","6",14884,1.58069740997728e-41,"Sig",185755.368268948,112323.491271361,"122","122"
"30","omnivore","7",14176,2.58936016493759e-34,"Sig",131215.775330804,120835.001681907,"122","122"
"31","omnivore","8",14884,1.58069740997728e-41,"Sig",187976.4250588,120333.034398826,"122","122"
